continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Asia,Afghanistan,44079,38304,16,23.429,1410,0,1.143,983.962,0.411,0.602,36.22,0,0.029,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
Europe,Albania,44079,9967,123,110.286,306,5,5,3463.41,42.741,38.323,106.331,1.737,1.737,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57
Africa,Algeria,44079,45773,304,338.571,1539,8,8,1043.829,6.933,7.721,35.096,0.182,0.182,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
Europe,Andorra,44079,1215,16,13,53,0,0,15725.102,207.08,168.252,685.951,0,0,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73
Africa,Angola,44079,2805,28,47.714,113,1,1,85.346,0.852,1.452,3.438,0.03,0.03,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15
North America,Anguilla,44079,3,0,0,0,0,0,199.973,0,0,0,0,0,15002,,,,,,,,,,,,,81.88
North America,Antigua and Barbuda,44079,95,0,0.143,3,0,0,970.1,0,1.459,30.635,0,0,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02
South America,Argentina,44079,451185,12026,10129.429,9468,313,191.286,9982.902,266.087,224.123,209.489,6.925,4.232,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
Asia,Armenia,44079,44461,190,144.286,891,4,3.143,15004.215,64.119,48.692,300.685,1.35,1.061,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09
North America,Aruba,44079,2358,66,64.571,13,0,0.571,22085.683,618.174,604.794,121.762,0,5.352,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29
Oceania,Australia,44079,26136,87,98.286,737,59,22,1024.946,3.412,3.854,28.902,2.314,0.863,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44
