location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
San Marino,03-09-2020,735,42,21657.139,1237.551,33938,556.667,,,,56861.47,,,5.64,,,,3.8,84.97
Peru,03-09-2020,663437,29259,20121.318,887.393,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74
Belgium,03-09-2020,85817,9898,7404.646,854.04,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63
Andorra,03-09-2020,1199,53,15518.022,685.951,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73
United Kingdom,03-09-2020,338676,41514,4988.893,611.525,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32
Chile,03-09-2020,414739,11344,21695.672,593.423,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18
Italy,03-09-2020,271515,35497,4490.685,587.098,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51
Brazil,03-09-2020,3997865,123780,18808.224,582.331,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88
Sweden,03-09-2020,84532,5820,8370.11,576.279,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8
United States,03-09-2020,6114406,185744,18472.378,561.156,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
Mexico,03-09-2020,610957,65816,4738.571,510.468,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
Panama,03-09-2020,94084,2030,21805.112,470.477,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51
France,03-09-2020,293024,30686,4489.172,470.114,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66
Bolivia,03-09-2020,117928,5203,10102.605,445.728,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51
Sint Maarten (Dutch part),03-09-2020,482,19,11240.147,443.076,42882,1209.088,,,,36327.232,,,,,,,,78.95
Colombia,03-09-2020,633339,20348,12446.995,399.899,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29
Ecuador,03-09-2020,115457,6619,6544.046,375.162,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01
Netherlands,03-09-2020,71971,6226,4200.265,363.353,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28
Ireland,03-09-2020,29114,1777,5896.153,359.877,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3
Jersey,03-09-2020,381,32,3769.553,316.603,101073,,,,,,,,,,,,,
Armenia,03-09-2020,44075,884,14873.952,298.323,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09
Macedonia,03-09-2020,14455,604,6938.245,289.914,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8
Isle of Man,03-09-2020,336,24,3951.454,282.247,85032,147.872,,,,,,,,,,,,81.4
Kosovo,03-09-2020,13558,523,7014.788,270.596,1932774,168.155,,,,9795.834,0.6,,,,,,,
Iran,03-09-2020,378752,21797,4509.331,259.51,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68
