Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0
3,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
3,5,4,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0
4,1,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0
4,5,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
4,1,3,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
4,1,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0
4,1,5,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0
4,1,5,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0
